phase,epoch,step,elapsed_s,loss,mae_mirror,mse_mirror,mae,sam,psnr,ssim
train,2,58888,1979.2,0.096957,,,,,,
train,2,58988,1982.1,0.091118,,,,,,
train,2,59088,1984.9,0.093824,,,,,,
train,2,59188,1987.8,0.091204,,,,,,
train,2,59288,1990.7,0.091723,,,,,,
train,2,59388,1993.5,0.089701,,,,,,
train,2,59488,1996.4,0.089634,,,,,,
train,2,59588,1999.2,0.091578,,,,,,
train,2,59688,2002.1,0.089854,,,,,,
train,2,59788,2005.0,0.090375,,,,,,
train,2,59888,2007.8,0.089519,,,,,,
train,2,59988,2010.7,0.091780,,,,,,
train,2,60088,2013.5,0.090360,,,,,,
train,2,60188,2016.4,0.088894,,,,,,
train,2,60288,2019.2,0.091428,,,,,,
train,2,60388,2022.1,0.089782,,,,,,
train,2,60488,2025.0,0.088072,,,,,,
