phase,epoch,step,elapsed_s,loss,mae,mse
train,2,55588,1739.2,0.097199,,
train,2,55688,1742.1,0.085523,,
train,2,55788,1744.9,0.088173,,
train,2,55888,1747.8,0.094070,,
train,2,55988,1750.6,0.093403,,
train,2,56088,1753.4,0.085483,,
train,2,56188,1756.3,0.096308,,
train,2,56288,1759.1,0.088148,,
train,2,56388,1762.0,0.090885,,
train,2,56488,1764.8,0.083455,,
train,2,56588,1767.6,0.087963,,
train,2,56688,1770.5,0.093767,,
train,2,56788,1773.3,0.083821,,
train,2,56888,1776.2,0.093775,,
train,2,56988,1779.0,0.088826,,
train,2,57088,1781.8,0.089744,,
train,2,57188,1784.7,0.098243,,
train,2,57288,1787.5,0.089639,,
train,2,57388,1790.3,0.087403,,
train,2,57488,1793.2,0.092638,,
train,2,57588,1796.0,0.092026,,
train,2,57688,1798.8,0.098666,,
train,2,57788,1801.7,0.087162,,
train,2,57888,1804.5,0.085912,,
train,2,57988,1807.4,0.097470,,
train,2,58088,1810.2,0.088484,,
train,2,58188,1813.1,0.090648,,
train,2,58288,1815.9,0.086620,,
train,2,58388,1818.7,0.089899,,
train,2,58488,1821.6,0.089484,,
train,2,58588,1824.4,0.089377,,
train,2,58688,1827.3,0.091931,,
train,2,58788,1830.1,0.091598,,
train,2,58888,1832.9,0.093795,,
train,2,58988,1835.8,0.088555,,
train,2,59088,1838.6,0.087115,,
train,2,59188,1841.4,0.088585,,
train,2,59288,1844.3,0.093598,,
train,2,59388,1847.1,0.089342,,
train,2,59488,1850.0,0.096789,,
train,2,59588,1852.8,0.091098,,
train,2,59688,1855.6,0.100297,,
train,2,59788,1858.5,0.090272,,
train,2,59888,1861.3,0.098628,,
train,2,59988,1864.2,0.087835,,
train,2,60088,1867.0,0.089913,,
train,2,60188,1869.8,0.096156,,
train,2,60288,1872.7,0.098537,,
train,2,60388,1875.5,0.089840,,
train,2,60488,1878.3,0.090962,,
train,2,60588,1881.2,0.089388,,
train,2,60688,1884.0,0.083097,,
train,2,60788,1886.8,0.092338,,
train,2,60888,1889.7,0.089774,,
train,2,60988,1892.5,0.091545,,
train,2,61088,1895.4,0.092079,,
train,2,61188,1898.2,0.099858,,
train,2,61288,1901.0,0.084913,,
train,2,61388,1903.9,0.093192,,
train,2,61488,1906.7,0.091646,,
train,2,61588,1909.5,0.092084,,
train,2,61688,1912.4,0.091035,,
train,2,61788,1915.2,0.093312,,
train,2,61888,1918.1,0.082350,,
train,2,61988,1920.9,0.091416,,
train,2,62088,1923.8,0.083706,,
train,2,62188,1926.6,0.088219,,
train,2,62288,1929.4,0.080823,,
train,2,62388,1932.3,0.089845,,
train,2,62488,1935.1,0.092591,,
train,2,62588,1937.9,0.090677,,
train,2,62688,1940.8,0.089092,,
train,2,62788,1943.6,0.092990,,
train,2,62888,1946.5,0.091363,,
train,2,62988,1949.3,0.086492,,
train,2,63088,1952.1,0.087570,,
train,2,63188,1955.0,0.094184,,
train,2,63288,1957.8,0.086881,,
train,2,63388,1960.6,0.095171,,
train,2,63488,1963.5,0.093605,,
train,2,63588,1966.3,0.086970,,
train,2,63688,1969.1,0.092044,,
train,2,63788,1972.0,0.089507,,
train,2,63888,1974.8,0.089132,,
train,2,63988,1977.6,0.088521,,
train,2,64088,1980.5,0.095283,,
train,2,64188,1983.3,0.093525,,
train,2,64288,1986.1,0.082861,,
train,2,64388,1989.0,0.093864,,
train,2,64488,1991.8,0.090457,,
train,2,64588,1994.6,0.087216,,
train,2,64688,1997.5,0.091491,,
train,2,64788,2000.3,0.096691,,
train,2,64888,2003.1,0.091800,,
train,2,64988,2006.0,0.088459,,
train,2,65088,2008.8,0.079636,,
train,2,65188,2011.6,0.090034,,
train,2,65288,2014.5,0.091694,,
train,2,65388,2017.3,0.088499,,
train,2,65488,2020.1,0.096317,,
train,2,65588,2023.0,0.087337,,
train,2,65688,2025.8,0.096686,,
train,2,65788,2028.6,0.084327,,
train,2,65888,2031.5,0.086630,,
train,2,65988,2034.3,0.092658,,
train,2,66088,2037.1,0.090237,,
train,2,66188,2040.0,0.091966,,
train,2,66288,2042.8,0.093197,,
train,2,66388,2045.6,0.095624,,
train,2,66488,2048.5,0.089508,,
train,2,66588,2051.3,0.085786,,
train,2,66688,2054.1,0.090174,,
train,2,66788,2057.0,0.092739,,
train,2,66888,2059.8,0.089421,,
train,2,66988,2062.6,0.085847,,
train,2,67088,2065.5,0.087669,,
train,2,67188,2068.3,0.087664,,
train,2,67288,2071.1,0.092847,,
train,2,67388,2074.0,0.087678,,
train,2,67488,2076.8,0.084862,,
train,2,67588,2079.6,0.086509,,
train,2,67688,2082.5,0.089816,,
train,2,67788,2085.3,0.081843,,
train,2,67888,2088.2,0.091451,,
train,2,67988,2091.2,0.092350,,
train,2,68088,2094.1,0.091503,,
train,2,68188,2097.0,0.088320,,
train,2,68288,2100.0,0.087558,,
train,2,68388,2102.8,0.082088,,
train,2,68488,2105.7,0.084502,,
train,2,68588,2108.5,0.088744,,
train,2,68688,2111.3,0.089418,,
train,2,68788,2114.2,0.086168,,
train,2,68888,2117.0,0.090101,,
train,2,68988,2119.9,0.093699,,
train,2,69088,2122.7,0.091748,,
train,2,69188,2125.5,0.092924,,
train,2,69288,2128.3,0.085108,,
train,2,69388,2131.2,0.087808,,
train,2,69488,2134.0,0.089353,,
train,2,69588,2136.8,0.098332,,
train,2,69688,2139.7,0.092086,,
train,2,69788,2142.5,0.086070,,
train,2,69888,2145.3,0.084508,,
train,2,69988,2148.2,0.090433,,
train,2,70088,2151.0,0.084489,,
train,2,70188,2153.9,0.096112,,
train,2,70288,2156.7,0.087803,,
train,2,70388,2159.5,0.092015,,
train,2,70488,2162.4,0.087809,,
train,2,70588,2165.2,0.089542,,
train,2,70688,2168.0,0.093601,,
train,2,70788,2170.8,0.094951,,
train,2,70888,2173.7,0.098082,,
train,2,70988,2176.5,0.091169,,
train,2,71088,2179.3,0.094208,,
train,2,71188,2182.2,0.090740,,
train,2,71288,2185.0,0.088268,,
train,2,71388,2187.8,0.088050,,
train,2,71488,2190.6,0.096837,,
train,2,71588,2193.5,0.090738,,
train,2,71688,2196.3,0.083994,,
train,2,71788,2199.1,0.087848,,
train,2,71888,2202.0,0.092835,,
train,2,71988,2204.8,0.085079,,
train,2,72088,2207.6,0.089237,,
train,2,72188,2210.5,0.096254,,
train,2,72288,2213.3,0.088837,,
train,2,72388,2216.1,nan,,
train,2,72488,2219.0,0.084676,,
train,2,72588,2221.8,0.084932,,
train,2,72688,2224.6,0.089938,,
train,2,72788,2227.5,0.093160,,
train,2,72888,2230.3,0.090510,,
train,2,72988,2233.1,0.088604,,
train,2,73088,2236.0,0.084890,,
train,2,73188,2238.8,0.086868,,
train,2,73288,2241.7,0.086995,,
val,2,,2320.4,0.079190,0.004677,0.000044
train,3,73432,2324.4,0.089150,,
train,3,73532,2327.2,0.091308,,
train,3,73632,2330.0,0.085124,,
train,3,73732,2332.9,0.088008,,
train,3,73832,2335.7,0.085893,,
train,3,73932,2338.6,0.090486,,
train,3,74032,2341.4,0.087277,,
train,3,74132,2344.2,0.085848,,
train,3,74232,2347.1,0.086788,,
